上报收费站ID,上报收费站名称,上报收费归属省份,上报收费站经度,上报收费站纬度,电子地图收费站ID,电子地图ID,电子地图收费站名称,电子地图收费站归属省份,电子地图收费经度,电子地图收费站纬度,互联网地图1收费站ID,互联网地图1收费站名称,互联网地图1收费站归属省份,互联网地图1收费站经度,互联网地图1收费站纬度,确认收费站ID,确认收费站名称,确认收费站归属省份,确认收费站类型,确认收费站经度,确认收费站纬度,确认数据经纬度来源（0：互联网1；    1：上报收费站；2：电子地图；3:缺失）
G0076350030030,南靖丰田,fujian,,,G0076350030030,2110031261,南靖丰田收费站,fujian,117.45506,24.6494,G0076350030030,南靖丰田收费站,FU_JIAN,117.455024,24.649468,G0076350030030,南靖丰田收费站,fujian,MAIN_LINE_PLAZA,117.455024,24.649468,0
G0076350030040,漳州西,fujian,,,G0076350030040,2110031296,漳州西收费站,fujian,117.62261,24.58596,G0076350030040,漳州西收费站,FU_JIAN,117.622623,24.585891,G0076350030040,漳州西收费站,fujian,MAIN_LINE_PLAZA,117.622623,24.585891,0
G0003350040010,闽清东桥,fujian,,,G0003350040010,,,,,,G0003350040010,闽清东桥收费站,FU_JIAN,118.916348,26.381926,G0003350040010,闽清东桥收费站,fujian,MAIN_LINE_PLAZA,118.916348,26.381926,0
G0003350040050,闽侯甘蔗,fujian,,,G0003350040050,,,,,,G0003350040050,闽侯甘蔗收费站,FU_JIAN,119.184162,26.161151,G0003350040050,闽侯甘蔗收费站,fujian,MAIN_LINE_PLAZA,119.184162,26.161151,0
S2513350010010,上杭白砂,fujian,,,S2513350010010,2110045163,上杭白砂收费站,fujian,116.58415,25.12564,S2513350010010,上杭白砂收费站,FU_JIAN,116.584214,25.125607,S2513350010010,上杭白砂收费站,fujian,MAIN_LINE_PLAZA,116.584214,25.125607,0
G0076350050080,古田,fujian,,,G0076350050080,2110031960,古田收费站,fujian,116.77436,25.1789,G0076350050080,古田收费站,FU_JIAN,116.7744,25.17887,G0076350050080,古田收费站,fujian,MAIN_LINE_PLAZA,116.7744,25.17887,0
G0025350020060,尤溪,fujian,,,G0025350020060,2110031544,尤溪收费站,fujian,118.2811,26.29822,G0025350020060,尤溪收费站,FU_JIAN,118.280843,26.298273,G0025350020060,尤溪收费站,fujian,MAIN_LINE_PLAZA,118.280843,26.298273,0
S0010350030040,延平洋后,fujian,,,S0010350030040,,,,,,S0010350030040,延平洋后收费站,FU_JIAN,118.522861,26.628247,S0010350030040,延平洋后收费站,fujian,MAIN_LINE_PLAZA,118.522861,26.628247,0
G0015350010130,下白石,fujian,,,G0015350010130,2110031702,下白石收费站,fujian,119.68027,26.81292,G0015350010130,下白石收费站,FU_JIAN,119.680115,26.812856,G0015350010130,下白石收费站,fujian,MAIN_LINE_PLAZA,119.680115,26.812856,0
G15W3350020010,宁德东,fujian,,,G15W3350020010,,,,,,G15W3350020010,宁德东收费站,FU_JIAN,119.59916,26.670405,G15W3350020010,宁德东收费站,fujian,MAIN_LINE_PLAZA,119.59916,26.670405,0
S0012350040010,溪南,fujian,,,S0012350040010,2110041023,溪南收费站,fujian,117.55885,25.356,S0012350040010,溪南收费站,FU_JIAN,117.558612,25.355976,S0012350040010,溪南收费站,fujian,MAIN_LINE_PLAZA,117.558612,25.355976,0
G0015350050050,涵江,fujian,,,G0015350050050,2110031808,涵江收费站,fujian,119.1619,25.45548,G0015350050050,涵江收费站,FU_JIAN,119.162289,25.455448,G0015350050050,涵江收费站,fujian,MAIN_LINE_PLAZA,119.162289,25.455448,0
G15W3350070050,安溪龙门,fujian,,,G15W3350070050,2110045169,安溪龙门收费站,fujian,118.08123,24.95618,G15W3350070050,安溪龙门收费站,FU_JIAN,118.081277,24.95599,G15W3350070050,安溪龙门收费站,fujian,MAIN_LINE_PLAZA,118.081277,24.95599,0
G15W3350080010,长泰枋洋,fujian,,,G15W3350080010,2110056173,长泰枋洋收费站,fujian,117.90098,24.78883,G15W3350080010,长泰枋洋收费站,FU_JIAN,117.90097,24.788883,G15W3350080010,长泰枋洋收费站,fujian,MAIN_LINE_PLAZA,117.90097,24.788883,0
G1514350010060,水吉,fujian,,,G1514350010060,2110045119,水吉收费站,fujian,118.34759,27.43555,G1514350010060,水吉收费站,FU_JIAN,118.347693,27.435345,G1514350010060,水吉收费站,fujian,MAIN_LINE_PLAZA,118.347693,27.435345,0
G1517350010030,涵江萩芦,fujian,,,G1517350010030,,,,,,G1517350010030,涵江萩芦收费站,FU_JIAN,119.116575,25.535949,G1517350010030,涵江萩芦收费站,fujian,MAIN_LINE_PLAZA,119.116575,25.535949,0
G1517350020030,三明西,fujian,,,G1517350020030,,,,,,G1517350020030,三明西收费站,FU_JIAN,117.565239,26.239802,G1517350020030,三明西收费站,fujian,MAIN_LINE_PLAZA,117.565239,26.239802,0
G15W3350010010,柘荣,fujian,,,G15W3350010010,2110135198,柘荣收费站,fujian,119.89412,27.21195,G15W3350010010,柘荣收费站,FU_JIAN,119.893882,27.211697,G15W3350010010,柘荣收费站,fujian,MAIN_LINE_PLAZA,119.893882,27.211697,0
G0011210030090,登沙河,liaoning,122.03592,39.239385,G0011210030090,2110007578,登沙河收费站,liaoning,122.04104,39.24064,G0011210030090,登沙河收费站,LIAO_NING,122.041092,39.240448,G0011210030090,登沙河收费站,liaoning,RAMP_PLAZA,122.041092,39.240448,0
G7011610010040,双河,shaanxi,109.751721,32.718096,G7011610010040,,,,,,G7011610010040,双河收费站,SHAAN_XI,109.756651,32.716002,G7011610010040,双河收费站,shaanxi,RAMP_PLAZA,109.756651,32.716002,0
G04W2440020090,江高,guangdong,113.207803,23.276443,G04W2440020090,,,,,,G04W2440020090,江高收费站,GUANG_DONG,113.209257,23.288372,G04W2440020090,江高收费站,guangdong,MAIN_LINE_PLAZA,113.209257,23.288372,0
S0021120020050,东棘坨,tianjin,,,S0021120020050,2110003869,东棘坨收费站,tianjin,117.63998,39.42548,S0021120020050,东棘坨收费站,TIAN_JIN,117.640084,39.42531,S0021120020050,东棘坨收费站,tianjin,RAMP_PLAZA,117.640084,39.42531,0
G0065430020080,乐安铺,hunan,,,G0065430020080,2110058150,乐安铺收费站,hunan,109.8988,26.4663,G0065430020080,乐安铺收费站,HU_NAN,109.898913,26.466558,G0065430020080,乐安铺收费站,hunan,MAIN_LINE_PLAZA,109.898913,26.466558,0
G0401430020040,鹿芝岭,hunan,,,G0401430020040,2110055891,鹿芝岭收费站,hunan,113.12643,28.10367,G0401430020040,鹿芝岭收费站,HU_NAN,113.126585,28.103718,G0401430020040,鹿芝岭收费站,hunan,MAIN_LINE_PLAZA,113.126585,28.103718,0
G5513430020740,幸福渠,hunan,,,G5513430020740,2110032754,幸福渠收费站,hunan,112.35842,28.6127,G5513430020740,幸福渠收费站,HU_NAN,112.358477,28.612686,G5513430020740,幸福渠收费站,hunan,MAIN_LINE_PLAZA,112.358477,28.612686,0
S0080430020050,邵东南,hunan,,,S0080430020050,2110032654,邵东南收费站,hunan,111.72108,27.18244,S0080430020050,邵东南收费站,HU_NAN,111.720925,27.182428,S0080430020050,邵东南收费站,hunan,MAIN_LINE_PLAZA,111.720925,27.182428,0
S0081430010010,道州,hunan,,,S0081430010010,2110033110,道州收费站,hunan,111.59316,25.46879,S0081430010010,道州收费站,HU_NAN,111.593199,25.468975,S0081430010010,道州收费站,hunan,MAIN_LINE_PLAZA,111.593199,25.468975,0
S0050430010080,娄底,hunan,,,S0050430010080,2110069133,娄底收费站,hunan,111.99976,27.84352,S0050430010080,娄底收费站,HU_NAN,111.999791,27.843088,S0050430010080,娄底收费站,hunan,MAIN_LINE_PLAZA,111.999791,27.843088,0
G0018120010030,津冀,tianjin,,,G0018120010030,,,,,,G0018120010030,津冀收费站,HE_BEI,116.855648,39.153604,G0018120010030,津冀收费站,tianjin,PROVINCE_STATION_COMMON,116.855648,39.153604,0
G0206340001010,G206罗塘,anhui,,,G0206340001010,,,,,,G0206340001010,罗塘收费站,AN_HUI,117.113506,32.37927,G0206340001010,罗塘收费站,anhui,,117.113506,32.37927,0
G0045360680060,赣定路龙南,jiangxi,,,G0045360680060,,,,,,G0045360680060,龙南收费站,JIANG_XI,114.80754,24.861996,G0045360680060,龙南收费站,jiangxi,RAMP_PLAZA,114.80754,24.861996,0
G0060360060010,昌樟路昌西南,jiangxi,,,G0060360060010,,,,,,G0060360060010,昌西南收费站,JIANG_XI,115.763865,28.562103,G0060360060010,昌西南收费站,jiangxi,MAIN_LINE_PLAZA,115.763865,28.562103,0
G0035360070120,景鹰路景德镇南,jiangxi,,,G0035360070120,,,,,,G0035360070120,景德镇南收费站,JIANG_XI,117.079415,29.243814,G0035360070120,景德镇南收费站,jiangxi,RAMP_PLAZA,117.079415,29.243814,0
G0035360120010,鹰瑞路南段石城北,jiangxi,,,G0035360120010,,,,,,G0035360120010,石城北收费站,JIANG_XI,116.305367,26.444488,G0035360120010,石城北收费站,jiangxi,RAMP_PLAZA,116.305367,26.444488,0
G0075620020030,渭源,gansu,104.27506,35.133342,G0075620020030,,,,,,G0075620020030,渭源收费站,GAN_SU,104.277065,35.13198,G0075620020030,渭源收费站,gansu,RAMP_PLAZA,104.277065,35.13198,0
G0030410050050,灵宝,henan,,,G0030410050050,2110022589,灵宝收费站,henan,110.92559,34.64956,G0030410050050,灵宝收费站,HE_NAN,110.92582,34.64949,G0030410050050,灵宝收费站,henan,RAMP_PLAZA,110.92582,34.64949,0
G0045410120030,大广豫鄂界,henan,,,G0045410120030,,,,,,G0045410120030,大广豫鄂界收费站,HE_NAN,114.889911,31.527318,G0045410120030,大广豫鄂界收费站,henan,PROVINCE_STATION_INDEPENDENT,114.889911,31.527318,0
S0042340010010,休宁,anhui,118,30,S0042340010010,2110055217,休宁收费站,anhui,118.08827,29.76084,S0042340010010,休宁收费站,AN_HUI,118.08809,29.760735,S0042340010010,休宁收费站,anhui,RAMP_PLAZA,118.08809,29.760735,0
G0050340060010,九华山北,anhui,117.3946,30.4044,G0050340060010,,,,,,G0050340060010,九华山收费站,AN_HUI,117.662784,30.679128,G0050340060010,九华山收费站,anhui,MAIN_LINE_PLAZA,117.662784,30.679128,0
S0038340010010,皖赣香隅,anhui,116.4814,30.1,S0038340010010,,,,,,S0038340010010,皖赣香隅主线收费站,AN_HUI,116.810377,30.014462,S0038340010010,皖赣香隅主线收费站,anhui,PROVINCE_STATION_INDEPENDENT,116.810377,30.014462,0
G0030340010030,萧县南,anhui,116.85968,34.090458,G0030340010030,2110029545,萧县南收费站,anhui,116.86503,34.08899,G0030340010030,萧县南收费站,AN_HUI,116.864893,34.088822,G0030340010030,萧县南收费站,anhui,RAMP_PLAZA,116.864893,34.088822,0
G0040340010020,全椒,anhui,118.288727,32.11714,G0040340010020,2110029524,全椒收费站,anhui,118.2888,32.11725,G0040340010020,全椒收费站,AN_HUI,118.288785,32.117163,G0040340010020,全椒收费站,anhui,RAMP_PLAZA,118.288785,32.117163,0
G0030650020010,吐鲁番,xinjiang,89.113259,42.998046,G0030650020010,2110006476,吐鲁番收费站,xinjiang,89.11556,42.99996,G0030650020010,吐鲁番收费站,XIN_JIANG,89.115798,42.999899,G0030650020010,吐鲁番收费站,xinjiang,MAIN_LINE_PLAZA,89.115798,42.999899,0
S0062520030010,平塘东,guizhou,,,S0062520030010,,,,,,S0062520030010,平塘东收费站,GUI_ZHOU,107.333939,25.844892,S0062520030010,平塘东收费站,guizhou,RAMP_PLAZA,107.333939,25.844892,0
G0055140460050,金村,shanxi,112.928602,35.538703,G0055140460050,2110024973,金村收费站,shanxi,112.93475,35.53814,G0055140460050,金村收费站,SHAN_XI,112.934734,35.538464,G0055140460050,金村收费站,shanxi,RAMP_PLAZA,112.934734,35.538464,0
S0080140630040,端氏,shanxi,112.541312,35.695605,S0080140630040,,,,,,S0080140630040,端氏收费站,SHAN_XI,112.540985,35.695865,S0080140630040,端氏收费站,shanxi,RAMP_PLAZA,112.540985,35.695865,0
G2516140500040,平遥南,shanxi,112.184722,37.107222,G2516140500040,2110044256,平遥南收费站,shanxi,112.17876,37.10475,G2516140500040,平遥南收费站,SHAN_XI,112.178759,37.104757,G2516140500040,平遥南收费站,shanxi,RAMP_PLAZA,112.178759,37.104757,0
G2516140480020,和顺东,shanxi,113.665248,37.124579,G2516140480020,,,,,,G2516140480020,和顺东收费站,SHAN_XI,113.671823,37.124892,G2516140480020,和顺东收费站,shanxi,RAMP_PLAZA,113.671823,37.124892,0
G0035440020110,园洲,guangdong,113.971181,23.185629,G0035440020110,,,,,,G0035440020110,园洲收费站,GUANG_DONG,113.976039,23.183419,G0035440020110,园洲收费站,guangdong,RAMP_PLAZA,113.976039,23.183419,0
S0004440010010,太和,guangdong,113.367877,23.272967,S0004440010010,,,,,,S0004440010010,太和收费站,GUANG_DONG,113.370826,23.274001,S0004440010010,太和收费站,guangdong,RAMP_PLAZA,113.370826,23.274001,0
G0004440010060,乳源,guangdong,113.174215,24.470153,G0004440010060,2110039458,乳源收费站,guangdong,113.30045,24.78109,G0004440010060,乳源收费站,GUANG_DONG,113.300726,24.781093,G0004440010060,乳源收费站,guangdong,RAMP_PLAZA,113.300726,24.781093,0
S0051440020030,岗美,guangdong,111.780753,22.047213,S0051440020030,2110038803,岗美收费站,guangdong,111.78592,22.04436,S0051440020030,岗美收费站,GUANG_DONG,111.786035,22.044278,S0051440020030,岗美收费站,guangdong,RAMP_PLAZA,111.786035,22.044278,0
S0012440020040,丙村,guangdong,116.275571,24.347927,S0012440020040,2110056931,丙村收费站,guangdong,116.28028,24.34496,S0012440020040,丙村收费站,GUANG_DONG,116.280349,24.344899,S0012440020040,丙村收费站,guangdong,RAMP_PLAZA,116.280349,24.344899,0
S0014440010050,水墩,guangdong,115.404839,23.587517,S0014440010050,,,,,,S0014440010050,水墩收费站,GUANG_DONG,115.40942,23.585,S0014440010050,水墩收费站,guangdong,RAMP_PLAZA,115.40942,23.585,0
G0015440040110,龙岗主,guangdong,114.351111,22.541428,G0015440040110,,,,,,G0015440040110,龙岗收费站,GUANG_DONG,114.210397,22.678507,G0015440040110,龙岗收费站,guangdong,MAIN_LINE_PLAZA,114.210397,22.678507,0
S0014440010100,义容,guangdong,114.852437,23.501877,S0014440010100,,,,,,S0014440010100,义容收费站,GUANG_DONG,114.857089,23.49933,S0014440010100,义容收费站,guangdong,RAMP_PLAZA,114.857089,23.49933,0
G0030610030020,咸阳南,shaanxi,108.401783,34.151046,G0030610030020,,,,,,G0030610030020,咸阳南收费站,SHAAN_XI,108.67636,34.251273,G0030610030020,咸阳南收费站,shaanxi,RAMP_PLAZA,108.67636,34.251273,0
G0022620030060,四十里铺,gansu,106.88516,35.466337,G0022620030060,2110025787,四十里铺收费站,gansu,106.88929,35.46537,G0022620030060,四十里铺收费站,GAN_SU,106.889457,35.46524,G0022620030060,四十里铺收费站,gansu,RAMP_PLAZA,106.889457,35.46524,0
G0045410080030,正阳岳城,henan,,,G0045410080030,,,,,,G0045410080030,正阳岳城收费站,HE_NAN,114.859667,32.636028,G0045410080030,正阳岳城收费站,henan,RAMP_PLAZA,114.859667,32.636028,0
G3511410020020,延津,henan,,,G3511410020020,2110022969,延津收费站,henan,114.23386,35.26696,G3511410020020,延津收费站,HE_NAN,114.233783,35.266786,G3511410020020,延津收费站,henan,RAMP_PLAZA,114.233783,35.266786,0
S0049410070040,舞钢南,henan,,,S0049410070040,2110022449,舞钢南收费站,henan,113.44576,33.24474,S0049410070040,舞钢南收费站,HE_NAN,113.44576,33.244605,S0049410070040,舞钢南收费站,henan,RAMP_PLAZA,113.44576,33.244605,0
G0030410010020,芒砀山,henan,,,G0030410010020,2110022505,芒砀山收费站,henan,116.4775,34.15585,G0030410010020,芒砀山收费站,HE_NAN,116.477504,34.155958,G0030410010020,芒砀山收费站,henan,RAMP_PLAZA,116.477504,34.155958,0
G0030410030100,上街,henan,,,G0030410030100,2110022818,上街收费站,henan,113.25095,34.847,G0030410030100,上街收费站,HE_NAN,113.253679,34.850391,G0030410030100,上街收费站,henan,RAMP_PLAZA,113.253679,34.850391,0
G0030410040020,孟津,henan,,,G0030410040020,2110022689,孟津收费站,henan,112.64052,34.78012,G0030410040020,孟津收费站,HE_NAN,112.640598,34.780031,G0030410040020,孟津收费站,henan,RAMP_PLAZA,112.640598,34.780031,0
S0022340020010,含山南,anhui,118.0825,31.657778,S0022340020010,2110057554,含山南收费站,anhui,118.08834,31.65589,S0022340020010,含山南收费站,AN_HUI,118.088227,31.655896,S0022340020010,含山南收费站,anhui,RAMP_PLAZA,118.088227,31.655896,0
G0005610050060,汉中,shaanxi,106.594872,33.012808,G0005610050060,,,,,,G0005610050060,汉中收费站,SHAAN_XI,107.001269,33.022478,G0005610050060,汉中收费站,shaanxi,RAMP_PLAZA,107.001269,33.022478,0
G0030610030030,三桥,shaanxi,108.475705,34.18148,G0030610030030,,,,,,G0030610030030,三桥收费站,SHAAN_XI,108.803875,34.29933,G0030610030030,三桥收费站,shaanxi,RAMP_PLAZA,108.803875,34.29933,0
G0065610050010,安塞北,shaanxi,109.32426,36.893541,G0065610050010,,,,,,G0065610050010,安塞北收费站,SHAAN_XI,109.318107,36.887117,G0065610050010,安塞北收费站,shaanxi,RAMP_PLAZA,109.318107,36.887117,0
G0065610030050,天赐湾,shaanxi,108.561201,37.192601,G0065610030050,,,,,,G0065610030050,天赐湾收费站,SHAAN_XI,108.936866,37.32399,G0065610030050,天赐湾收费站,shaanxi,RAMP_PLAZA,108.936866,37.32399,0
G0069610010070,土桥,shaanxi,108.430781,34.981056,G0069610010070,,,,,,G0069610010070,土桥收费站,SHAAN_XI,108.436226,34.980492,G0069610010070,土桥收费站,shaanxi,RAMP_PLAZA,108.436226,34.980492,0
G0065610080070,泾河,shaanxi,108.985855,34.482213,G0065610080070,,,,,,G0065610080070,泾河收费站,SHAAN_XI,108.986126,34.482127,G0065610080070,泾河收费站,shaanxi,RAMP_PLAZA,108.986126,34.482127,0
G0065610080090,西安北,shaanxi,108.973832,34.495441,G0065610080090,,,,,,G0065610080090,西安北收费站,SHAAN_XI,108.974531,34.494459,G0065610080090,西安北收费站,shaanxi,MAIN_LINE_PLAZA,108.974531,34.494459,0
G0512510010020,成乐彭山,sichuan,,,G0512510010020,,,,,,G0512510010020,彭山收费站,SI_CHUAN,103.852603,30.209628,G0512510010020,彭山收费站,sichuan,RAMP_PLAZA,103.852603,30.209628,0
G0512510010080,成乐乐山,sichuan,,,G0512510010080,,,,,,G0512510010080,乐山收费站,SI_CHUAN,103.703624,29.584818,G0512510010080,乐山收费站,sichuan,RAMP_PLAZA,103.703624,29.584818,0
G0005510070060,泸黄西木,sichuan,,,G0005510070060,,,,,,G0005510070060,西木收费站,SI_CHUAN,102.188723,27.744083,G0005510070060,西木收费站,sichuan,RAMP_PLAZA,102.188723,27.744083,0
G0005510060030,雅泸龙苍沟,sichuan,,,G0005510060030,,,,,,G0005510060030,龙苍沟收费站,SI_CHUAN,102.838756,29.701767,G0005510060030,龙苍沟收费站,sichuan,RAMP_PLAZA,102.838756,29.701767,0
G0080530020010,阿三龙,yunnan,103.646235,23.804798,G0080530020010,2110015625,阿三龙收费站,yunnan,103.64814,23.80188,G0080530020010,阿三龙收费站,YUN_NAN,103.648218,23.801948,G0080530020010,阿三龙收费站,yunnan,RAMP_PLAZA,103.648218,23.801948,0
G8011530020030,蛮耗,yunnan,103.401012,22.993183,G8011530020030,2110015373,蛮耗收费站,yunnan,103.40416,22.99014,G8011530020030,蛮耗收费站,YUN_NAN,103.404158,22.990157,G8011530020030,蛮耗收费站,yunnan,RAMP_PLAZA,103.404158,22.990157,0
G8011530010020,雨洒,yunnan,102.844745,23.775618,G8011530010020,2110053914,雨洒收费站,yunnan,103.2671,23.77041,G8011530010020,雨洒收费站,YUN_NAN,103.2668,23.770127,G8011530010020,雨洒收费站,yunnan,RAMP_PLAZA,103.2668,23.770127,0
G0070360010060,昌九路德安,jiangxi,,,G0070360010060,,,,,,G0070360010060,德安收费站,JIANG_XI,115.750854,29.314487,G0070360010060,德安收费站,jiangxi,RAMP_PLAZA,115.750854,29.314487,0
G0016150020010,赤峰阿其乌拉,neimenggu,,,G0016150020010,,,,,,G0016150020010,阿其乌拉出口,NEI_MENG_GU,116.715476,43.501975,G0016150020010,阿其乌拉出口,neimenggu,,116.715476,43.501975,0
S9902130010020,机场,hebei,114.395576,38.164626,S9902130010020,,,,,,S9902130010020,机场收费站,HE_BEI,114.671485,38.280218,S9902130010020,机场收费站,hebei,RAMP_PLAZA,114.671485,38.280218,0
G04W2440020010,清远西,guangdong,113.021396,23.653532,G04W2440020010,2110038984,清远西收费站,guangdong,113.02679,23.6511,G04W2440020010,清远西收费站,GUANG_DONG,113.023031,23.660808,G04W2440020010,清远西收费站,guangdong,MAIN_LINE_PLAZA,113.023031,23.660808,0
G0078440020010,梅南,guangdong,116.085361,24.144002,G0078440020010,2110039133,梅南收费站,guangdong,116.07884,24.13824,G0078440020010,梅南收费站,GUANG_DONG,116.078827,24.138026,G0078440020010,梅南收费站,guangdong,RAMP_PLAZA,116.078827,24.138026,0
G0094440010020,芙蓉嶂,guangdong,113.238611,23.494737,G0094440010020,,,,,,G0094440010020,芙蓉嶂收费站,GUANG_DONG,113.243307,23.492674,G0094440010020,芙蓉嶂收费站,guangdong,MAIN_LINE_PLAZA,113.243307,23.492674,0
